NO2,t-1
1.8262449827943783e-05,2.4119810626914495e-05
2.38399906891118e-05,1.8262449827943783e-05
2.941753155027982e-05,2.38399906891118e-05
3.1629096156393643e-05,2.941753155027982e-05
1.9807373843962398e-05,3.1629096156393643e-05
2.2749469784295282e-05,1.9807373843962398e-05
2.5691565724628163e-05,2.2749469784295282e-05
2.333726539897422e-05,2.5691565724628163e-05
3.149628092715931e-05,2.333726539897422e-05
3.965529645534439e-05,3.149628092715931e-05
4.781431198352948e-05,3.965529645534439e-05
1.831610297813313e-05,4.781431198352948e-05
2.315760805123275e-05,1.831610297813313e-05
2.799911312433237e-05,2.315760805123275e-05
3.284061819743199e-05,2.799911312433237e-05
2.757188780378783e-05,3.284061819743199e-05
2.774461747070871e-05,2.757188780378783e-05
1.4309657368964205e-05,2.774461747070871e-05
3.68254115441925e-05,1.4309657368964205e-05
5.9341165719420784e-05,3.68254115441925e-05
2.4524495529476557e-05,5.9341165719420784e-05
1.8060404130437743e-05,2.4524495529476557e-05
2.8809754117749737e-05,1.8060404130437743e-05
1.8511901438008256e-05,2.8809754117749737e-05
2.0621576409970052e-05,1.8511901438008256e-05
2.2731251381931845e-05,2.0621576409970052e-05
2.3507967865277877e-05,2.2731251381931845e-05
2.4284684348623905e-05,2.3507967865277877e-05
1.7519457208856274e-05,2.4284684348623905e-05
1.3568762096838326e-05,1.7519457208856274e-05
4.849416291108355e-05,1.3568762096838326e-05
3.072066774241951e-05,4.849416291108355e-05
1.2947172573755475e-05,3.072066774241951e-05
1.6063017271032246e-05,1.2947172573755475e-05
1.937580902146389e-05,1.6063017271032246e-05
3.911618478014134e-05,1.937580902146389e-05
3.262740884224513e-05,3.911618478014134e-05
2.6138632904348924e-05,3.262740884224513e-05
1.964985696645272e-05,2.6138632904348924e-05
1.7608866118452913e-05,1.964985696645272e-05
1.5567875270453106e-05,1.7608866118452913e-05
2.3276796751888057e-05,1.5567875270453106e-05
1.9322587487156764e-05,2.3276796751888057e-05
1.536837822242547e-05,1.9322587487156764e-05
1.141416895769418e-05,1.536837822242547e-05
1.182245299356183e-05,1.141416895769418e-05
1.2230737029429478e-05,1.182245299356183e-05
1.2639021065297127e-05,1.2230737029429478e-05
1.601823525895987e-05,1.2639021065297127e-05
2.157249388080251e-05,1.601823525895987e-05
2.302429070595319e-05,2.157249388080251e-05
2.4476087531103873e-05,2.302429070595319e-05
2.5927884356254555e-05,2.4476087531103873e-05
3.656638258083452e-05,2.5927884356254555e-05
4.720488080541448e-05,3.656638258083452e-05
1.694679538339752e-05,4.720488080541448e-05
5.452158195112133e-05,1.694679538339752e-05
4.980964467904414e-05,5.452158195112133e-05
1.9592077958208165e-05,4.980964467904414e-05
1.5291911052983664e-05,1.9592077958208165e-05
1.0991744147759164e-05,1.5291911052983664e-05
4.536060244693848e-05,1.0991744147759164e-05
3.27364928125462e-05,4.536060244693848e-05
3.476961688496279e-05,3.27364928125462e-05
3.1665667298360255e-05,3.476961688496279e-05
2.5319469107041816e-05,3.1665667298360255e-05
4.664603975470527e-05,2.5319469107041816e-05
2.9146910886386956e-05,4.664603975470527e-05
1.9398107754871797e-05,2.9146910886386956e-05
1.9641705131851435e-05,1.9398107754871797e-05
1.8410822381805963e-05,1.9641705131851435e-05
2.1184642992011505e-05,1.8410822381805963e-05
1.969861336369326e-05,2.1184642992011505e-05
2.028642055799872e-05,1.969861336369326e-05
2.1407712151615318e-05,2.028642055799872e-05
1.988788875888321e-05,2.1407712151615318e-05
1.6978427447611465e-05,1.988788875888321e-05
1.2817941264334616e-05,1.6978427447611465e-05
1.8216894013924905e-05,1.2817941264334616e-05
1.597132107857952e-05,1.8216894013924905e-05
2.0047539444269862e-05,1.597132107857952e-05
1.4641776488133472e-05,2.0047539444269862e-05
2.754215893219225e-05,1.4641776488133472e-05
2.7145537753767712e-05,2.754215893219225e-05
2.6748916575343173e-05,2.7145537753767712e-05
2.2564668352760447e-05,2.6748916575343173e-05
2.1849510289939644e-05,2.2564668352760447e-05
2.1043339817846837e-05,2.1849510289939644e-05
2.4242440859880942e-05,2.1043339817846837e-05
2.1004000981996623e-05,2.4242440859880942e-05
2.3147702824430518e-05,2.1004000981996623e-05
2.2611004506298168e-05,2.3147702824430518e-05
2.491303724430812e-05,2.2611004506298168e-05
1.9321366852198952e-05,2.491303724430812e-05
1.5288878273622686e-05,1.9321366852198952e-05
1.6937472257548226e-05,1.5288878273622686e-05
1.61200478032697e-05,1.6937472257548226e-05
1.782119894414791e-05,1.61200478032697e-05
1.952235008502612e-05,1.782119894414791e-05
3.483892717617386e-05,1.952235008502612e-05
5.01555042673216e-05,3.483892717617386e-05
1.5533652350541162e-05,5.01555042673216e-05
2.901682328229072e-05,1.5533652350541162e-05
2.127921689912941e-05,2.901682328229072e-05
4.573372993595863e-05,2.127921689912941e-05
5.260627854526816e-05,4.573372993595863e-05
2.034709285470416e-05,5.260627854526816e-05
2.428636163299729e-05,2.034709285470416e-05
2.3228629136914e-05,2.428636163299729e-05
1.785951677188028e-05,2.3228629136914e-05
1.7058305838006726e-05,1.785951677188028e-05
1.2943341289428645e-05,1.7058305838006726e-05
1.4838424408480931e-05,1.2943341289428645e-05
1.3689421016830523e-05,1.4838424408480931e-05
1.9575993221600395e-05,1.3689421016830523e-05
3.203573825582377e-05,1.9575993221600395e-05
2.0634445475783045e-05,3.203573825582377e-05
2.34446826572607e-05,2.0634445475783045e-05
3.1556514675850686e-05,2.34446826572607e-05
2.6781306732201223e-05,3.1556514675850686e-05
2.2006098788551757e-05,2.6781306732201223e-05
2.562583879274637e-05,2.2006098788551757e-05
2.5598567871758644e-05,2.562583879274637e-05
1.728240255456983e-05,2.5598567871758644e-05
2.2183333266698557e-05,1.728240255456983e-05
2.8732657731531862e-05,2.2183333266698557e-05
2.281298916248929e-05,2.8732657731531862e-05
1.6893320593446717e-05,2.281298916248929e-05
1.0973652024404146e-05,1.6893320593446717e-05
1.0516840347918333e-05,1.0973652024404146e-05
1.006002867143252e-05,1.0516840347918333e-05
2.1963290479713277e-05,1.006002867143252e-05
4.668467079648474e-05,2.1963290479713277e-05
5.080732701874998e-05,4.668467079648474e-05
1.7757958910526493e-05,5.080732701874998e-05
1.9150336787073945e-05,1.7757958910526493e-05
1.6741588524382678e-05,1.9150336787073945e-05
1.7444143408182652e-05,1.6741588524382678e-05
2.787153753160965e-05,1.7444143408182652e-05
2.787153753160965e-05,2.787153753160965e-05
