mel_7_std,chroma_0_mean,mel_6_std,stat_skew,mel_7_mean,label
0.0039483784,0.46642944,0.0089691635,0.8313750521764113,0.0022016875,buka
0.08403038,0.41659692,0.060875323,2.2855439517963165,0.028887128,tutup
0.0016913172,0.37644717,0.0060552093,1.768263506470713,0.0012726637,buka
0.013888161,0.3871789,0.0046886387,-0.5503984855775664,0.0057610185,tutup
0.030463168,0.4242295,0.04607496,2.2551941298946656,0.008506888,tutup
0.00014344057,0.5811951,0.00056624523,0.31134323263712593,0.00039576108,buka
0.00020518474,0.5539368,0.00045365345,0.3501854948604197,0.00024212999,buka
0.0037188947,0.6564602,0.0032426957,1.1112595791341022,0.0022280244,buka
0.00092839345,0.54901356,0.0013476217,0.922473013545072,0.0008486141,buka
0.006300716,0.6287591,0.0149736265,0.46879467618484877,0.0038712202,buka
9.7389464e-05,0.49173114,0.0002288642,0.2813888531710794,0.00019741183,buka
0.008291935,0.4582621,0.0075604687,-0.5905713290774783,0.0023505616,tutup
0.011542916,0.6982224,0.020973146,-0.9443809997080737,0.0029685893,tutup
0.00047777343,0.6326132,0.0032931676,0.29410572958447284,0.00054961024,buka
0.000538313,0.7304899,0.0005147107,0.40259018694871324,0.00033766835,buka
0.00020046534,0.54092383,0.001458872,0.10439343619540263,0.00032929826,buka
0.0040059714,0.5463168,0.0097505,-0.26299164015146337,0.0011325842,tutup
0.0011942845,0.60158753,0.0021745167,0.37086412966309673,0.00054556836,buka
0.00923884,0.5219163,0.031449847,1.495560340690984,0.0038936653,buka
0.0930826,0.44505206,0.043151308,2.475962154019987,0.022558434,tutup
0.1052947,0.52049315,0.14507736,2.3023406925970327,0.029014772,tutup
0.093645014,0.38493204,0.06813208,1.6509792955971838,0.025125176,tutup
0.00066962483,0.67820334,0.0035934788,0.5043851185047443,0.00071770116,buka
0.012191667,0.42292958,0.010368509,2.2625462209442784,0.0043777265,buka
0.00029756993,0.7546886,0.0015159126,-0.036478519302545774,0.00059833407,buka
0.12095532,0.36256397,0.20903334,1.3174047288541715,0.028128944,tutup
0.06808011,0.40007174,0.041203838,1.4173972850365417,0.030397583,tutup
0.0038878978,0.64198136,0.0055988426,-0.3068490895117968,0.0012771849,tutup
0.017955711,0.44586894,0.008199774,-0.3519617188134838,0.0067778225,tutup
