stat_mean,stat_std,stat_var,stat_skew,stat_kurt,stat_min,stat_max,stat_range,stat_median,stat_q25,stat_q75,stat_iqr,temp_rms,temp_energy,temp_zcr,temp_autocorr_max,temp_peak_count,temp_peak_mean,temp_onset_count,temp_onset_rate,spec_centroid_mean,spec_centroid_std,spec_bandwidth_mean,spec_bandwidth_std,spec_rolloff_mean,spec_rolloff_std,spec_flatness_mean,spec_flatness_std,spec_contrast_0_mean,spec_contrast_0_std,spec_contrast_1_mean,spec_contrast_1_std,spec_contrast_2_mean,spec_contrast_2_std,spec_contrast_3_mean,spec_contrast_3_std,spec_contrast_4_mean,spec_contrast_4_std,spec_contrast_5_mean,spec_contrast_5_std,spec_contrast_6_mean,spec_contrast_6_std,mfcc_0_mean,mfcc_0_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,chroma_0_mean,chroma_0_std,chroma_1_mean,chroma_1_std,chroma_2_mean,chroma_2_std,chroma_3_mean,chroma_3_std,chroma_4_mean,chroma_4_std,chroma_5_mean,chroma_5_std,chroma_6_mean,chroma_6_std,chroma_7_mean,chroma_7_std,chroma_8_mean,chroma_8_std,chroma_9_mean,chroma_9_std,chroma_10_mean,chroma_10_std,chroma_11_mean,chroma_11_std,mel_0_mean,mel_0_std,mel_1_mean,mel_1_std,mel_2_mean,mel_2_std,mel_3_mean,mel_3_std,mel_4_mean,mel_4_std,mel_5_mean,mel_5_std,mel_6_mean,mel_6_std,mel_7_mean,mel_7_std,mel_8_mean,mel_8_std,mel_9_mean,mel_9_std,tonnetz_0_mean,tonnetz_0_std,tonnetz_1_mean,tonnetz_1_std,tonnetz_2_mean,tonnetz_2_std,tonnetz_3_mean,tonnetz_3_std,tonnetz_4_mean,tonnetz_4_std,tonnetz_5_mean,tonnetz_5_std,spec_entropy_mean,spec_entropy_std,stat_entropy,label
-0.0004990535,0.17033494,0.029013988,0.8313750521764113,8.420624907205832,-0.8612535,0.9999916,1.8612452,0.0,-0.011117335641756654,0.008793344954028726,0.01991068059578538,0.17033567,639.764,0.07046786221590909,637.49274,1,0.9999915957450867,3,3.0,2208.122653300918,1096.06498762483,2590.1761701266864,617.1392538041798,4821.235240589489,2868.415043964866,0.06835071,0.06752044,21.872584553698744,7.225036119922042,13.837172968886868,4.915232467917845,14.874911585346778,4.287913115853703,15.860294698582818,4.410885223033755,13.301202972328003,2.105552867545847,15.251051112098024,2.8944624678582,16.888219360612865,4.0463325243278065,-260.75647,64.952255,103.94265,37.46307,22.870098,24.92758,12.663209,9.980005,1.9164814,8.834141,-2.711851,7.443245,2.411198,10.209305,2.4480803,6.768747,-1.4692047,7.803411,-5.2935667,4.4163213,-16.771366,12.122604,-6.080768,4.148835,-12.301111,8.900259,0.46642944,0.28964147,0.37726936,0.27429476,0.43348733,0.35327697,0.45410958,0.28576514,0.54877645,0.28694177,0.48779202,0.2700127,0.44111082,0.3326494,0.42645016,0.2987429,0.50555366,0.25898442,0.5431845,0.26059654,0.629157,0.1840355,0.6956201,0.32956344,47.963505,77.21193,2.8646479,4.701539,0.40390483,0.6290945,0.07845391,0.21835563,0.012941628,0.037580278,0.0053778426,0.009364449,0.0036327357,0.0089691635,0.0022016875,0.0039483784,0.0018532008,0.0032308854,0.0023768535,0.0040400466,0.05024351355015564,0.13316754123628807,-0.018520840303502054,0.046254039103501496,-0.026840740010481437,0.14683903351563501,-0.020059219180522288,0.0741853774160125,-0.004448402531634559,0.02914799557588555,-0.0016633886420590776,0.05610232396087865,5.4032574,1.7922527,-49.01127211903348,buka
-0.00048032094,0.12494387,0.015610971,2.2855439517963165,21.17483594865525,-0.6591576,0.9999949,1.6591525,0.0,-0.014727267669513822,0.01254821545444429,0.02727548312395811,0.1249448,344.22702,0.04616477272727273,341.4091,9,0.3116561472415924,3,3.0,1728.9911465414264,390.5919968207604,2351.5179623322692,301.9854376016327,3694.9018998579545,918.5095598533823,0.01563139,0.011866854,23.736936247351238,6.615743762597194,11.780391545796936,4.3735379688851435,15.576127830434132,3.9489415131119117,13.416381657624562,2.8231536955895216,14.193604165363416,1.7558282288585545,15.417247380516757,2.1755059364257066,14.7993841475813,3.0340402565353166,-254.7461,74.44952,122.00932,13.751921,12.963769,8.780151,19.263618,12.771291,-3.2285044,10.678152,-3.120195,6.2431726,-3.2495642,3.7376525,-11.557873,8.319537,-10.255043,7.7372727,-10.452053,4.719951,-9.188916,9.195166,-2.0515249,3.7768583,-6.370917,3.2035773,0.41659692,0.23454021,0.45390624,0.25419387,0.49914896,0.21804641,0.5006412,0.2897415,0.5151295,0.247829,0.57915044,0.336368,0.55232984,0.2765144,0.61291033,0.31517872,0.49550465,0.30224976,0.47062215,0.24153872,0.5511374,0.21871684,0.4174733,0.2107717,26.448336,73.5693,3.7754898,9.379615,0.3008101,0.86690736,0.12657107,0.35760102,0.022283154,0.05144606,0.0130061,0.029472722,0.021916827,0.060875323,0.028887128,0.08403038,0.004283246,0.01111056,0.0007013521,0.0013924368,-0.04062897607169138,0.0613341378323848,0.07344693447200074,0.047535372716521855,-0.01983508217910512,0.1169923557970494,-0.09718112529001505,0.06422824234798888,0.015906298992455756,0.028172111325879476,-0.0123841402819379,0.04325549333001486,5.2987924,0.7889973,-77.40435973363883,tutup
-0.00014281638,0.14956734,0.022370389,1.768263506470713,9.883081834387184,-0.61726236,0.9999962,1.6172585,0.0,-0.007218897924758494,0.005351096973754466,0.01256999489851296,0.1495674,493.2675,0.06356534090909091,491.52124,1,0.7207149267196655,2,2.0,2613.783429808901,1214.7309520557985,2768.9186340601013,694.698084264754,5674.73310990767,2964.3648549726317,0.08220225,0.07201811,20.876222389231994,6.490846138153371,11.474973069097036,3.728966147578042,15.503337215473465,3.6651697823898157,14.547824499894357,3.8261497468980115,13.648243641429264,2.4963111693301605,15.25590292417815,2.6653079212439907,17.30675612905644,4.3421900683903845,-288.55905,91.175026,97.61621,45.81239,26.742775,12.164974,11.289249,5.2802496,0.4317607,7.428268,0.33207548,6.4261174,-10.212888,6.321457,-0.5884723,10.615544,-7.028294,5.46408,1.8576648,11.075997,-8.242398,7.3542957,-1.2509434,5.1646276,-6.0901093,3.5806763,0.37644717,0.27368084,0.4154747,0.27539062,0.50765216,0.3664016,0.49075252,0.3866255,0.46575963,0.30004117,0.49424866,0.3089995,0.39849484,0.25722742,0.34113818,0.19148535,0.36947152,0.21738526,0.41613248,0.30329204,0.44030854,0.26445788,0.3792963,0.22768793,30.686157,59.2528,2.5790138,4.8663197,0.938369,1.6846523,0.043644503,0.08524754,0.015876235,0.032589722,0.00740274,0.016478606,0.0027067682,0.0060552093,0.0012726637,0.0016913172,0.0017322719,0.0031746977,0.0018801283,0.0035528415,0.03294577931485349,0.055991045558977416,0.011031924007671357,0.04978522796337346,0.002674801698462109,0.13032895460709673,-0.008467426438901153,0.06093123447326572,-0.014289160054468085,0.028327895781836317,-0.012189399249936329,0.04674955619024246,5.4698215,1.563141,-68.03828393972735,buka
0.0070062387,0.22894041,0.05241371,-0.5503984855775664,2.097142401037982,-0.9315004,0.9999975,1.9314978,0.005249449,-0.019917278084903955,0.09951394610106945,0.1194312241859734,0.2290476,1156.8048,0.024502840909090908,1151.9047,1,0.41051003336906433,3,3.0,977.7234648376158,474.27976993411255,1572.3168310405679,642.5270978416231,1915.7209916548295,1344.8625081285354,0.02572581,0.14862,17.919777334597622,5.764865039651179,16.93778697078269,6.123858644823101,18.123430447378524,6.079635223833857,17.88663344269847,5.582199120386909,16.44563307131906,2.688822150834591,16.780042785275537,2.6311020485054226,15.83621368278146,2.8550933666142577,-254.22389,95.33825,155.36403,48.15106,20.20187,9.92123,18.939135,8.300572,-6.7149935,15.350134,9.28205,7.569154,1.2263639,4.7064924,-1.0476066,12.095593,0.8326511,7.856436,-0.16821624,6.1059966,-6.519525,7.98716,2.205972,4.6565995,-3.4701273,7.95287,0.3871789,0.25957403,0.72952944,0.32230124,0.6914328,0.2203099,0.50223726,0.40418017,0.3271309,0.3379228,0.19189253,0.2268351,0.18069595,0.23187682,0.256174,0.3140821,0.3238896,0.20475367,0.3151262,0.28494647,0.20664501,0.23069952,0.22642556,0.25127438,83.79502,87.62562,13.638278,20.754877,2.0295115,2.1236095,0.34144875,0.4641288,0.03195954,0.06175218,0.004359366,0.004471222,0.0025570744,0.0046886387,0.0057610185,0.013888161,0.0007241192,0.0013167504,0.0002111766,0.0003393244,-0.11031476832505739,0.15441934935010387,-0.1425140213480354,0.16678743335996746,-0.19262613620693744,0.2141666936732699,0.01098097033206004,0.09553631927661367,0.05311285690944024,0.07535748293799334,-0.048082255917093294,0.0641426180374052,3.7777107,1.0717975,-20.832315783094025,tutup
-4.7619174e-05,0.121627934,0.014793355,2.2551941298946656,22.611123127472997,-0.6323724,0.9999964,1.6323688,0.0,0.0,0.0,0.0,0.12162794,326.1935,0.04917214133522727,323.9258,3,0.24618475139141083,3,3.0,2584.318642337437,677.1144516944235,2858.3804682139257,500.02846450577636,5970.08056640625,1972.3428577550667,0.06486476,0.031669475,16.9559773434489,5.363062158511376,11.849455075316415,4.922047765400295,15.201799765629842,4.630025526624922,15.220158608840443,4.16950346166836,13.441937561630022,1.8003022634018826,15.947830920558413,3.545378913144875,16.027883705891206,4.543441887120164,-324.75177,72.32337,91.7301,24.002174,16.667953,16.834372,18.583616,15.221794,-1.6438733,11.15302,-4.146404,5.51111,-0.80389875,3.8695948,-2.70525,5.7984896,-10.730933,13.096745,-3.8351393,4.923245,-9.7633295,13.398381,-1.9729378,4.791453,-4.714741,6.2750163,0.4242295,0.21994,0.40014008,0.23134594,0.51225924,0.27631015,0.52777815,0.31951532,0.5966373,0.3174562,0.65494466,0.3250581,0.6419943,0.28459954,0.6485134,0.25996011,0.49087164,0.2745017,0.39310896,0.24921016,0.38667518,0.24254292,0.40718395,0.21297741,26.75251,74.13402,6.223587,17.597439,0.1524143,0.43635404,0.014458817,0.031147756,0.0046922653,0.016222365,0.005548375,0.019844927,0.013673073,0.04607496,0.008506888,0.030463168,0.0022802667,0.006212739,0.0016875681,0.00421794,0.021546741598582633,0.034641886381354015,-0.002755045799511745,0.043685878242944766,0.0357850381088523,0.07399636844890786,0.028188040395351544,0.06668776659724845,-0.007687441209778978,0.015761257055275903,0.005013397005810004,0.03480940539162377,5.8609405,1.091098,-111.85230560429439,tutup
-7.03409e-05,0.12216361,0.014923947,2.257993800463977,18.985828188559353,-0.6075602,0.999994,1.6075542,0.0,-0.007859939709305763,0.006675376323983073,0.014535316033288836,0.12216363,329.07315,0.07195490056818182,324.80377,7,0.42086926102638245,3,3.0,2536.3516412679637,695.906017955168,2838.2984440228925,467.44821466993574,5860.701682350852,1904.8379950913468,0.04820616,0.030999638,19.255221953888682,5.406028693165109,12.127470913779735,3.9661543317849044,15.59110966058277,4.155100503262197,14.333890908343328,3.806219411677062,14.274411736347245,2.1071069115061074,16.06879628245287,3.4307908173482446,16.923780367847392,3.8891468767781983,-283.34982,76.69491,91.926674,22.088999,18.991941,11.3612385,17.247301,13.840118,-4.195999,11.784478,-4.9749365,7.52441,-2.072521,10.2053795,-12.786939,9.104438,-14.016769,12.742309,-4.067119,4.787707,-13.774808,13.277632,0.7160941,5.9095488,-9.48731,6.282674,0.35257724,0.21826264,0.31744596,0.25987414,0.36924303,0.2709411,0.63805723,0.33729884,0.64046204,0.29740348,0.5749975,0.30910105,0.62970835,0.25531667,0.5363118,0.25888178,0.35530335,0.2298329,0.33038506,0.21871176,0.36803284,0.25823465,0.36611366,0.20253235,24.574308,63.796944,7.3391743,19.142466,0.14899725,0.3455856,0.08023783,0.18326366,0.011373046,0.025762672,0.005872849,0.017422043,0.043470543,0.17019776,0.05271482,0.21056053,0.0042467033,0.016058346,0.0037820614,0.011487454,0.007578187975745681,0.05310806662627238,0.03550671563831227,0.04173661444790064,0.03565353675830051,0.08229857013893348,0.01660903615199661,0.05979758769877796,-0.00789387735524204,0.015540080296942274,0.005870712921023402,0.020695950529169352,5.551727,1.0914202,-89.76404733164607,tutup
0.006056734,0.28749013,0.08265058,0.31134323263712593,1.124538798999315,-0.99999744,0.97475994,1.9747574,0.0,-0.11341272294521332,0.06381583027541637,0.1772285532206297,0.28755394,1823.2542,0.026322798295454544,1815.1488,0,0.0,2,2.0,849.2604962501343,433.46977678523507,1409.9945485418777,568.8357807591645,1473.0668501420455,968.3367001128837,0.025641017,0.14865234,17.604355472242204,5.380394264135495,17.774704380668172,7.880122700974408,21.10208363594802,8.343983066306663,20.13131497546004,7.445600989076562,15.557437558382231,2.2058667492063675,16.802067120305985,1.8698592518182484,15.596777185506436,1.9580834074501463,-252.06236,69.76703,163.02892,44.951088,21.578627,15.748242,17.170662,8.457751,4.93288,10.519272,1.2180628,6.197287,1.6536559,7.332747,7.748514,7.3730903,-0.3777336,3.5188744,-0.48923123,6.787894,-5.222055,5.463772,-2.6343167,9.662142,-1.992728,4.843269,0.5811951,0.29777387,0.7927675,0.2862077,0.44565022,0.21655272,0.26249266,0.29054692,0.2709479,0.35496846,0.2583308,0.3262599,0.21734476,0.28072646,0.30606478,0.25195417,0.5652723,0.29478353,0.28275192,0.19654343,0.27497748,0.30389258,0.38396072,0.35106865,137.31648,163.74615,24.697174,30.8382,4.706176,6.068042,0.21076109,0.48085782,0.009391453,0.006241561,0.004602575,0.0029229831,0.0013135164,0.00056624523,0.00039576108,0.00014344057,0.0004227171,0.00047129104,0.0001196789,5.1084568e-05,-0.04708847441693107,0.10687639298182958,-0.10541879250372198,0.1387738893201741,-0.22484054139137982,0.2089420911068249,-0.008610819466412555,0.08371097472936655,-0.004928219270157282,0.037105527304016554,-0.05216552426149567,0.05781917219446979,3.737155,1.1162161,-6.529868670532429,buka
0.0071098935,0.25942767,0.06730272,0.3501854948604197,0.9890452978388948,-0.84863156,0.99999756,1.8486291,0.0,-0.11771529354155064,0.06132654473185539,0.17904183827340603,0.25952506,1485.1395,0.022261186079545456,1478.946,0,0.0,3,3.0,895.0555494100815,571.0793740887009,1503.2552975447436,696.5935017744297,1657.0778586647727,1444.1844074199987,0.049001213,0.20761554,22.067212824385106,4.810265858002427,20.118144036148564,7.625984477127414,21.428678135185105,8.072805131385019,21.138475228933974,7.892077042906613,16.41992382365144,2.8602468513348884,17.20298713857363,1.6463754224872051,16.63455141759658,3.0897312278070306,-288.75812,74.41712,150.53197,46.821587,32.077377,18.034195,15.862179,17.177212,6.6320376,11.528808,-4.6468816,8.317241,1.6550164,6.171623,6.981679,7.4789577,-2.2193086,3.6907377,-5.4336762,12.20487,-5.7249722,12.077261,-3.7155213,11.170796,-6.2160234,6.9071307,0.5539368,0.32174063,0.647527,0.3698302,0.26907519,0.1911168,0.131576,0.16726094,0.16608125,0.24497975,0.2254499,0.3356499,0.25898466,0.32818797,0.4251289,0.34726804,0.4330716,0.24186109,0.22653341,0.21473251,0.2555499,0.300851,0.32504922,0.25993887,115.40632,131.37332,13.773635,18.880844,3.453843,5.0788503,0.69753224,0.96907806,0.0047987653,0.008132743,0.0035149762,0.0050462885,0.0006884188,0.00045365345,0.00024212999,0.00020518474,0.00026962507,0.00025504656,0.00023915744,0.0003787584,-0.1493985210720446,0.14896181247194312,-0.10656514041550982,0.24316492779424376,-0.18341790570411867,0.2542185335571157,0.0636085963236503,0.14021355091376664,0.08474111350824452,0.058740140832165645,-0.08697152618763283,0.061825371509338034,3.2583597,1.0333338,-11.165223992823913,buka
0.00010329106,0.11467512,0.013150383,1.1112595791341022,8.103309490950167,-0.6128999,0.9999919,1.6128918,0.0,-0.008570175152271986,0.006900003761984408,0.015470178914256394,0.114675164,289.9662,0.08700284090909091,288.50162,2,0.615513801574707,3,3.0,2624.7983767288124,973.3499400832326,2859.192283128683,456.5645223115272,5861.435768821023,2529.0018892113244,0.09293191,0.06844752,20.23091705950316,8.17991218782336,13.028342483431489,3.9147348093405214,13.799797719147096,3.9149638408218244,15.577884892156208,3.048193847839633,14.025544339704167,2.079173705216499,15.03493281726735,1.9022504061547227,16.230873704175902,3.1642858289263294,-264.42142,58.653126,87.69232,25.775455,17.725725,23.49473,9.420072,11.824641,0.3667514,10.2383585,-4.201623,7.553273,-1.1339902,6.209562,2.2025175,7.19773,-2.5454993,7.6588597,-5.2188416,6.5792456,-10.888728,5.030707,-5.0401516,4.9429393,-8.475099,6.103553,0.6564602,0.2970435,0.53643006,0.30131382,0.47476494,0.259241,0.45520318,0.28739896,0.44272092,0.25681466,0.5363007,0.3087696,0.47063196,0.3148044,0.43464383,0.31252968,0.47277653,0.28124857,0.49592134,0.23450832,0.63062,0.23884082,0.7507965,0.2657903,18.810482,34.20879,1.6261052,3.6944065,0.2880167,0.7626601,0.07999431,0.30695793,0.011793279,0.03224123,0.0053010816,0.007870847,0.0025081136,0.0032426957,0.0022280244,0.0037188947,0.0031099992,0.0063345586,0.0023721003,0.004473763,0.0635862581535775,0.05601376589671591,0.019343112457366984,0.02978830323489828,0.002626459516415153,0.09227116500126009,0.016855039041150172,0.06375959117528927,0.0007315027946762244,0.024796207106662915,0.004055291615341928,0.029427421293822812,5.843999,1.9640101,-73.29370381022994,buka
6.639606e-05,0.16935207,0.028680122,0.922473013545072,5.212853828610777,-0.7374083,0.99999595,1.7374042,0.0,-0.03175823204219341,0.009423932991921902,0.041182165034115314,0.16935207,632.3967,0.04432262073863636,629.5993,0,0.0,5,5.0,1906.9660886386882,1152.525793416276,2430.6811519195576,607.0363735395218,3851.507013494318,2904.8186567614994,0.061616167,0.09487782,23.20487138814354,8.308600267887888,15.874727703628956,6.536767121737129,16.407831148003993,6.754086493099332,17.566046284646603,5.36908336115483,13.966855941513018,2.2687342721891146,16.38895889183665,3.2688811400610858,18.28514618178311,5.365409465110059,-289.73938,66.10665,112.435135,40.049248,34.088043,25.280956,17.248472,10.248429,2.6383207,9.064658,-4.3697276,12.511087,1.274245,8.459593,7.3258348,5.347805,-1.8826221,8.075974,1.9039761,6.482156,-18.36521,11.902173,-4.7178717,4.670356,-13.441806,11.997093,0.54901356,0.4077322,0.4234189,0.35386696,0.350865,0.30890393,0.32440856,0.28022772,0.46709004,0.30759823,0.55760324,0.32793352,0.35186717,0.2919901,0.35060966,0.33203825,0.33166206,0.27656913,0.38696134,0.21094705,0.45249388,0.20181067,0.53317016,0.34566757,51.75094,80.182785,6.4515257,11.684235,0.76826745,1.4415227,0.013467079,0.023362944,0.0027378164,0.0035813157,0.0020408956,0.0024159027,0.0012882057,0.0013476217,0.0008486141,0.00092839345,0.000992397,0.0010451614,0.002296396,0.0029700014,0.08442147293507035,0.20160862150273098,-0.010030244735558002,0.07340526340715682,-0.08270252104425342,0.17015152531682087,-0.021996562517333503,0.12344059402556093,0.027225342175612097,0.04838738012542481,0.015131002842364094,0.05180740875040659,4.713168,2.0127397,-43.07105545814617,buka
