mel_7_std,chroma_0_mean,mel_6_std,stat_skew,mel_7_mean,label
0.21056053,0.35257724,0.17019776,2.257993800463977,0.05271482,tutup
0.05179296,0.46612588,0.032352064,7.039791422372656,0.012247988,tutup
0.11125317,0.63513136,0.194521,-0.2888145853793438,0.12402756,buka
0.09846247,0.3793031,0.2731435,2.649504094261288,0.023341479,tutup
0.234237,0.27874434,0.37973857,1.0679083682318176,0.06479725,tutup
0.023581289,0.4789447,0.02597156,7.613309736623108,0.0056793573,tutup
0.1727524,0.416733,0.19511259,-0.056478127912119744,0.17083934,buka
0.17439309,0.46820536,0.19468352,1.8940196728468497,0.04338561,tutup
0.08109208,0.40591085,0.023668671,7.118970349717163,0.019157507,tutup
0.10256937,0.49635038,0.06894525,-0.8686837431248703,0.034305457,tutup
0.20963766,0.50661516,0.12678772,2.5541677987186877,0.076487705,tutup
0.0011700027,0.6529896,0.0012894308,5.050999334749785,0.001280225,buka
0.14045069,0.37709305,0.9346352,-1.0834854203019284,0.043336608,buka
0.24396427,0.5386996,0.22840986,2.5412969034046946,0.06392947,tutup
0.08891094,0.3964825,0.5573235,4.478090405475125,0.017964827,tutup
