mean,var,skew,kurt,rms,zcr,centroid,bandwidth,rolloff,entropy,label
0.008289202,0.007918003,4.885885225205115,50.250576754875006,0.08936842,0.01873224431818182,605.6658059691968,755.5213648656704,1204.8805930397727,-111.1939130345506,buka
0.022352777,0.0166614,2.274272608589515,12.11716526785595,0.13100018,0.030351118607954544,789.7594943442854,1147.9083858153235,1384.976473721591,-66.32797683846539,buka
0.02235529,0.016662989,2.274226391840877,12.116863613811052,0.13100667,0.030262340198863636,787.5354171068792,1143.6208480239864,1381.5507368607955,-66.31489702466047,buka
0.022768097,0.016505992,2.394794668867866,12.654151232611108,0.1304775,0.04417835582386364,812.5003500851443,1159.7180225898617,1384.4870827414773,-65.29445225779594,buka
0.022701712,0.016508788,2.395946767461199,12.666133665284626,0.13047665,0.04433371803977273,816.3263869879323,1165.2613926975728,1393.5408158735795,-65.47695666917616,buka
0.0228175,0.01651347,2.394192381349023,12.646442518815558,0.13051479,0.04433371803977273,811.3694932303301,1156.5576318073242,1385.4658647017045,-65.2002298542069,buka
0.031821992,0.049332228,0.45088217638619704,4.099162657926013,0.2243766,0.04221413352272727,916.158444038263,1049.3834070893731,1757.8924005681818,-30.67885028666678,buka
0.022770781,0.016509345,2.3947797337958225,12.653048996868485,0.13049081,0.04442249644886364,812.6799780623977,1158.7772480750514,1386.4446466619318,-65.28201847433637,buka
0.031770274,0.049328603,0.4507923785112535,4.101020469394582,0.22436121,0.04221413352272727,913.0547866450383,1045.766616583165,1746.6364080255682,-30.691287378465194,buka
0.022558691,0.01647664,2.397730236791433,12.687939287658944,0.13032857,0.044000799005681816,820.5804102370356,1170.5466059284554,1410.1801091974432,-65.71686493679954,buka
0.022793509,0.016511241,2.3945193177341246,12.650427580783925,0.13050205,0.044000799005681816,811.1003423800572,1155.1936665856142,1385.7105601917613,-65.24927568425198,buka
0.02280515,0.016512075,2.3943294638241532,12.647868851673543,0.13050729,0.044267134232954544,810.6704761201204,1154.9815626368534,1383.50830078125,-65.22966236443669,buka
0.020856597,0.01566717,2.543962332478628,14.368262270742214,0.12689433,0.044111772017045456,1041.6088777772277,1352.315898385883,1837.9078258167613,-69.46707026826861,buka
0.028020212,0.054899875,0.310523689258819,4.097396232294791,0.2359767,0.029130415482954544,860.7543524091168,1045.1366286728673,1689.132967862216,-35.78806295177202,buka
